%DATA MadgeTech Data File                       
%FORMAT CSV                                     
%VERSION 2.02.00                                
%BEGIN

"[Device]"
"DeviceType","&H0126"
"59","41164.9965277778","+0","0","","&B10000000","&B00000000"
"60","41165","+0","0","","&B10000000","&B00000000"
"61","41165.0034722222","+0","0","","&B10000000","&B00000000"
"62","41165.0069444444","+0","0","","&B10000000","&B00000000"
"63","41165.0104166667","+0","0","","&B10000000","&B00000000"
"64","41165.0138888889","+0","0","","&B10000000","&B00000000"
"65","41165.0173611111","+0","0","","&B10000000","&B00000000"
"66","41165.0208333333","+0","0","","&B10000000","&B00000000"
"67","41165.0243055556","+0","0","","&B10000000","&B00000000"
"68","41165.0277777778","+0","0","","&B10000000","&B00000000"
"69","41165.03125","+0","0","","&B10000000","&B00000000"
"70","41165.0347222222","+0","0","","&B10000000","&B00000000"
"71","41165.0381944444","+0","0","","&B10000000","&B00000000"
"72","41165.0416666667","+0","0","","&B10000000","&B00000000"
"73","41165.0451388889","+0","0","","&B10000000","&B00000000"
"74","41165.0486111111","+0","0","","&B10000000","&B00000000"
"75","41165.0520833333","+0","0","","&B10000000","&B00000000"
"76","41165.0555555556","+0","0","","&B10000000","&B00000000"
"77","41165.0590277778","+0","0","","&B10000000","&B00000000"
"78","41165.0625","+0","0","","&B10000000","&B00000000"
"79","41165.0659722222","+0","0","","&B10000000","&B00000000"
"80","41165.0694444444","+0","0","","&B10000000","&B00000000"
"81","41165.0729166667","+0","0","","&B10000000","&B00000000"
"82","41165.0763888889","+0","0","","&B10000000","&B00000000"
"83","41165.0798611111","-0.005","0","","&B10000000","&B00000000"
"84","41165.0833333333","+0","0","","&B10000000","&B00000000"
"85","41165.0868055556","+0","0","","&B10000000","&B00000000"
"86","41165.0902777778","+0","0","","&B10000000","&B00000000"
"87","41165.09375","+0","0","","&B10000000","&B00000000"
"88","41165.0972222222","+0","0","","&B10000000","&B00000000"
"89","41165.1006944444","+0","0","","&B10000000","&B00000000"
"90","41165.1041666667","+0","0","","&B10000000","&B00000000"
"91","41165.1076388889","+0","0","","&B10000000","&B00000000"
"92","41165.1111111111","+0","0","","&B10000000","&B00000000"
"93","41165.1145833333","+0","0","","&B10000000","&B00000000"
"94","41165.1180555556","+0","0","","&B10000000","&B00000000"
"95","41165.1215277778","+0","0","","&B10000000","&B00000000"
"96","41165.125","+0","0","","&B10000000","&B00000000"
"97","41165.1284722222","+0","0","","&B10000000","&B00000000"
"98","41165.1319444444","+0","0","","&B10000000","&B00000000"
"99","41165.1354166667","+0","0","","&B10000000","&B00000000"
"100","41165.1388888889","+0","0","","&B10000000","&B00000000"
"101","41165.1423611111","+0","0","","&B10000000","&B00000000"
"102","41165.1458333333","+0","0","","&B10000000","&B00000000"
"103","41165.1493055556","+0","0","","&B10000000","&B00000000"
"104","41165.1527777778","+0","0","","&B10000000","&B00000000"
"105","41165.15625","+0","0","","&B10000000","&B00000000"
"106","41165.1597222222","+0","0","","&B10000000","&B00000000"
"107","41165.1631944444","+0","0","","&B10000000","&B00000000"
"108","41165.1666666667","+0","0","","&B10000000","&B00000000"
"109","41165.1701388889","+0","0","","&B10000000","&B00000000"
"110","41165.1736111111","+0","0","","&B10000000","&B00000000"
"111","41165.1770833333","+0","0","","&B10000000","&B00000000"
"112","41165.1805555556","+0","0","","&B10000000","&B00000000"
"113","41165.1840277778","+0","0","","&B10000000","&B00000000"
"114","41165.1875","+0","0","","&B10000000","&B00000000"
"115","41165.1909722222","+0","0","","&B10000000","&B00000000"
"116","41165.1944444444","+0","0","","&B10000000","&B00000000"
"117","41165.1979166667","+0","0","","&B10000000","&B00000000"
"118","41165.2013888889","+0","0","","&B10000000","&B00000000"
"119","41165.2048611111","+0","0","","&B10000000","&B00000000"
"120","41165.2083333333","+0","0","","&B10000000","&B00000000"
"121","41165.2118055556","+0","0","","&B10000000","&B00000000"
"122","41165.2152777778","+0","0","","&B10000000","&B00000000"
"123","41165.21875","+0","0","","&B10000000","&B00000000"
"124","41165.2222222222","+0","0","","&B10000000","&B00000000"
"125","41165.2256944444","+0","0","","&B10000000","&B00000000"
"126","41165.2291666667","+0","0","","&B10000000","&B00000000"
"127","41165.2326388889","+0","0","","&B10000000","&B00000000"
"128","41165.2361111111","-0.005","0","","&B10000000","&B00000000"
"129","41165.2395833333","+0","0","","&B10000000","&B00000000"
"130","41165.2430555556","+0","0","","&B10000000","&B00000000"
"131","41165.2465277778","+0","0","","&B10000000","&B00000000"
"132","41165.25","+0","0","","&B10000000","&B00000000"
"133","41165.2534722222","+0","0","","&B10000000","&B00000000"
"134","41165.2569444444","+0","0","","&B10000000","&B00000000"
"135","41165.2604166667","+0","0","","&B10000000","&B00000000"
"136","41165.2638888889","+0","0","","&B10000000","&B00000000"
"137","41165.2673611111","+0","0","","&B10000000","&B00000000"
"138","41165.2708333333","+0","0","","&B10000000","&B00000000"
"139","41165.2743055556","+0","0","","&B10000000","&B00000000"
"140","41165.2777777778","+0","0","","&B10000000","&B00000000"
"141","41165.28125","+0","0","","&B10000000","&B00000000"
"142","41165.2847222222","+0","0","","&B10000000","&B00000000"
"143","41165.2881944444","+0","0","","&B10000000","&B00000000"
"144","41165.2916666667","+0","0","","&B10000000","&B00000000"
"145","41165.2951388889","+0","0","","&B10000000","&B00000000"
"146","41165.2986111111","+0","0","","&B10000000","&B00000000"
"147","41165.3020833333","+0","0","","&B10000000","&B00000000"
"148","41165.3055555556","+0","0","","&B10000000","&B00000000"
"149","41165.3090277778","+0","0","","&B10000000","&B00000000"
"150","41165.3125","+0","0","","&B10000000","&B00000000"
"151","41165.3159722222","+0","0","","&B10000000","&B00000000"
"152","41165.3194444444","+0","0","","&B10000000","&B00000000"
"153","41165.3229166667","+0","0","","&B10000000","&B00000000"
"154","41165.3263888889","+0","0","","&B10000000","&B00000000"
"155","41165.3298611111","+0","0","","&B10000000","&B00000000"
"156","41165.3333333333","+0","0","","&B10000000","&B00000000"
"157","41165.3368055556","+0","0","","&B10000000","&B00000000"
"158","41165.3402777778","+0","0","","&B10000000","&B00000000"
"159","41165.34375","+0","0","","&B10000000","&B00000000"
"160","41165.3472222222","+0","0","","&B10000000","&B00000000"
"161","41165.3506944444","+0","0","","&B10000000","&B00000000"
"162","41165.3541666667","+0","0","","&B10000000","&B00000000"
"163","41165.3576388889","+0","0","","&B10000000","&B00000000"
"164","41165.3611111111","+0","0","","&B10000000","&B00000000"
"165","41165.3645833333","+0","0","","&B10000000","&B00000000"
"166","41165.3680555556","+0","0","","&B10000000","&B00000000"
"167","41165.3715277778","+0","0","","&B10000000","&B00000000"
"168","41165.375","+0","0","","&B10000000","&B00000000"
"169","41165.3784722222","+0","0","","&B10000000","&B00000000"
"170","41165.3819444444","+0","0","","&B10000000","&B00000000"
"171","41165.3854166667","+0","0","","&B10000000","&B00000000"
"172","41165.3888888889","+0","0","","&B10000000","&B00000000"
"173","41165.3923611111","+0","0","","&B10000000","&B00000000"
"174","41165.3958333333","+0","0","","&B10000000","&B00000000"
"175","41165.3993055556","+0","0","","&B10000000","&B00000000"
"176","41165.4027777778","+0","0","","&B10000000","&B00000000"
"177","41165.40625","+0","0","","&B10000000","&B00000000"
"178","41165.4097222222","+0","0","","&B10000000","&B00000000"
"179","41165.4131944444","+0","0","","&B10000000","&B00000000"
"180","41165.4166666667","+0","0","","&B10000000","&B00000000"
"181","41165.4201388889","+0","0","","&B10000000","&B00000000"
"182","41165.4236111111","+0","0","","&B10000000","&B00000000"
"183","41165.4270833333","+0","0","","&B10000000","&B00000000"
"184","41165.4305555556","+0","0","","&B10000000","&B00000000"
"185","41165.4340277778","+0","0","","&B10000000","&B00000000"
"186","41165.4375","+0","0","","&B10000000","&B00000000"
"187","41165.4409722222","+0","0","","&B10000000","&B00000000"
"188","41165.4444444444","+0","0","","&B10000000","&B00000000"
"189","41165.4479166667","+0","0","","&B10000000","&B00000000"
"190","41165.4513888889","+0","0","","&B10000000","&B00000000"
"191","41165.4548611111","+0","0","","&B10000000","&B00000000"
"192","41165.4583333333","+0","0","","&B10000000","&B00000000"
