%DATA MadgeTech Data File                       
%FORMAT CSV                                     
%VERSION 2.02.00                                
%BEGIN

"[Device]"
"DeviceType","&H0126"
"3963","41178.5520833333","+0","0","","&B10000000","&B00000000"
"3964","41178.5555555556","+0","0","","&B10000000","&B00000000"
"3965","41178.5590277778","+0","0","","&B10000000","&B00000000"
"3966","41178.5625","+0","0","","&B10000000","&B00000000"
"3967","41178.5659722222","+0","0","","&B10000000","&B00000000"
"3968","41178.5694444444","+0","0","","&B10000000","&B00000000"
"3969","41178.5729166667","+0","0","","&B10000000","&B00000000"
"3970","41178.5763888889","+0","0","","&B10000000","&B00000000"
"3971","41178.5798611111","+0","0","","&B10000000","&B00000000"
"3972","41178.5833333333","+0","0","","&B10000000","&B00000000"
"3973","41178.5868055556","+0","0","","&B10000000","&B00000000"
"3974","41178.5902777778","+0","0","","&B10000000","&B00000000"
"3975","41178.59375","+0","0","","&B10000000","&B00000000"
"3976","41178.5972222222","+0","0","","&B10000000","&B00000000"
"3977","41178.6006944444","+0","0","","&B10000000","&B00000000"
"3978","41178.6041666667","+0","0","","&B10000000","&B00000000"
"3979","41178.6076388889","+0","0","","&B10000000","&B00000000"
"3980","41178.6111111111","+0","0","","&B10000000","&B00000000"
"3981","41178.6145833333","+0","0","","&B10000000","&B00000000"
"3982","41178.6180555556","+0","0","","&B10000000","&B00000000"
"3983","41178.6215277778","+0","0","","&B10000000","&B00000000"
"3984","41178.625","+0","0","","&B10000000","&B00000000"
"3985","41178.6284722222","+0","0","","&B10000000","&B00000000"
"3986","41178.6319444444","+0","0","","&B10000000","&B00000000"
"3987","41178.6354166667","+0","0","","&B10000000","&B00000000"
"3988","41178.6388888889","+0","0","","&B10000000","&B00000000"
"3989","41178.6423611111","+0","0","","&B10000000","&B00000000"
"3990","41178.6458333333","+0","0","","&B10000000","&B00000000"
"3991","41178.6493055556","+0","0","","&B10000000","&B00000000"
"3992","41178.6527777778","+0","0","","&B10000000","&B00000000"
"3993","41178.65625","+0","0","","&B10000000","&B00000000"
"3994","41178.6597222222","+0","0","","&B10000000","&B00000000"
"3995","41178.6631944444","+0","0","","&B10000000","&B00000000"
"3996","41178.6666666667","+0","0","","&B10000000","&B00000000"
"3997","41178.6701388889","+0","0","","&B10000000","&B00000000"
"3998","41178.6736111111","+0","0","","&B10000000","&B00000000"
"3999","41178.6770833333","+0","0","","&B10000000","&B00000000"
"4000","41178.6805555556","+0","0","","&B10000000","&B00000000"
"4001","41178.6840277778","+0","0","","&B10000000","&B00000000"
"4002","41178.6875","+0","0","","&B10000000","&B00000000"
"4003","41178.6909722222","+0","0","","&B10000000","&B00000000"
"4004","41178.6944444444","+0","0","","&B10000000","&B00000000"
"4005","41178.6979166667","+0","0","","&B10000000","&B00000000"
"4006","41178.7013888889","+0","0","","&B10000000","&B00000000"
"4007","41178.7048611111","+0","0","","&B10000000","&B00000000"
"4008","41178.7083333333","+0","0","","&B10000000","&B00000000"
"4009","41178.7118055556","+0","0","","&B10000000","&B00000000"
"4010","41178.7152777778","+0","0","","&B10000000","&B00000000"
"4011","41178.71875","+0","0","","&B10000000","&B00000000"
"4012","41178.7222222222","+0","0","","&B10000000","&B00000000"
"4013","41178.7256944444","+0","0","","&B10000000","&B00000000"
"4014","41178.7291666667","-0.005","0","","&B10000000","&B00000000"
"4015","41178.7326388889","+0","0","","&B10000000","&B00000000"
"4016","41178.7361111111","+0","0","","&B10000000","&B00000000"
"4017","41178.7395833333","+0","0","","&B10000000","&B00000000"
"4018","41178.7430555556","+0","0","","&B10000000","&B00000000"
"4019","41178.7465277778","+0","0","","&B10000000","&B00000000"
"4020","41178.75","+0","0","","&B10000000","&B00000000"
"4021","41178.7534722222","+0","0","","&B10000000","&B00000000"
"4022","41178.7569444444","+0","0","","&B10000000","&B00000000"
"4023","41178.7604166667","+0","0","","&B10000000","&B00000000"
"4024","41178.7638888889","+0","0","","&B10000000","&B00000000"
"4025","41178.7673611111","+0","0","","&B10000000","&B00000000"
"4026","41178.7708333333","+0","0","","&B10000000","&B00000000"
"4027","41178.7743055556","+0","0","","&B10000000","&B00000000"
"4028","41178.7777777778","+0","0","","&B10000000","&B00000000"
"4029","41178.78125","+0","0","","&B10000000","&B00000000"
"4030","41178.7847222222","+0","0","","&B10000000","&B00000000"
"4031","41178.7881944444","+0","0","","&B10000000","&B00000000"
"4032","41178.7916666667","+0","0","","&B10000000","&B00000000"
"4033","41178.7951388889","+0","0","","&B10000000","&B00000000"
"4034","41178.7986111111","+0","0","","&B10000000","&B00000000"
"4035","41178.8020833333","+0","0","","&B10000000","&B00000000"
"4036","41178.8055555556","+0","0","","&B10000000","&B00000000"
"4037","41178.8090277778","+0","0","","&B10000000","&B00000000"
"4038","41178.8125","+0","0","","&B10000000","&B00000000"
"4039","41178.8159722222","+0","0","","&B10000000","&B00000000"
"4040","41178.8194444444","+0","0","","&B10000000","&B00000000"
"4041","41178.8229166667","+0","0","","&B10000000","&B00000000"
"4042","41178.8263888889","+0","0","","&B10000000","&B00000000"
"4043","41178.8298611111","+0","0","","&B10000000","&B00000000"
"4044","41178.8333333333","+0","0","","&B10000000","&B00000000"
"4045","41178.8368055556","+0","0","","&B10000000","&B00000000"
"4046","41178.8402777778","+0","0","","&B10000000","&B00000000"
"4047","41178.84375","+0","0","","&B10000000","&B00000000"
"4048","41178.8472222222","+0","0","","&B10000000","&B00000000"
"4049","41178.8506944444","+0","0","","&B10000000","&B00000000"
"4050","41178.8541666667","+0","0","","&B10000000","&B00000000"
"4051","41178.8576388889","+0","0","","&B10000000","&B00000000"
"4052","41178.8611111111","+0","0","","&B10000000","&B00000000"
"4053","41178.8645833333","+0","0","","&B10000000","&B00000000"
"4054","41178.8680555556","+0","0","","&B10000000","&B00000000"
"4055","41178.8715277778","+0","0","","&B10000000","&B00000000"
"4056","41178.875","+0","0","","&B10000000","&B00000000"
"4057","41178.8784722222","+0","0","","&B10000000","&B00000000"
"4058","41178.8819444444","+0","0","","&B10000000","&B00000000"
"4059","41178.8854166667","+0","0","","&B10000000","&B00000000"
"4060","41178.8888888889","+0","0","","&B10000000","&B00000000"
"4061","41178.8923611111","+0","0","","&B10000000","&B00000000"
"4062","41178.8958333333","+0","0","","&B10000000","&B00000000"
"4063","41178.8993055556","+0","0","","&B10000000","&B00000000"
"4064","41178.9027777778","+0","0","","&B10000000","&B00000000"
"4065","41178.90625","+0","0","","&B10000000","&B00000000"
"4066","41178.9097222222","+0","0","","&B10000000","&B00000000"
"4067","41178.9131944444","+0","0","","&B10000000","&B00000000"
"4068","41178.9166666667","+0","0","","&B10000000","&B00000000"
"4069","41178.9201388889","+0","0","","&B10000000","&B00000000"
"4070","41178.9236111111","+0","0","","&B10000000","&B00000000"
"4071","41178.9270833333","+0","0","","&B10000000","&B00000000"
"4072","41178.9305555556","+0","0","","&B10000000","&B00000000"
"4073","41178.9340277778","+0","0","","&B10000000","&B00000000"
"4074","41178.9375","+0","0","","&B10000000","&B00000000"
"4075","41178.9409722222","+0","0","","&B10000000","&B00000000"
"4076","41178.9444444444","+0","0","","&B10000000","&B00000000"
"4077","41178.9479166667","+0","0","","&B10000000","&B00000000"
"4078","41178.9513888889","+0","0","","&B10000000","&B00000000"
"4079","41178.9548611111","+0","0","","&B10000000","&B00000000"
"4080","41178.9583333333","+0","0","","&B10000000","&B00000000"
"4081","41178.9618055556","+0","0","","&B10000000","&B00000000"
"4082","41178.9652777778","+0","0","","&B10000000","&B00000000"
"4083","41178.96875","+0","0","","&B10000000","&B00000000"
"4084","41178.9722222222","+0","0","","&B10000000","&B00000000"
"4085","41178.9756944444","-0.005","0","","&B10000000","&B00000000"
"4086","41178.9791666667","-0.005","0","","&B10000000","&B00000000"
"4087","41178.9826388889","+0","0","","&B10000000","&B00000000"
"4088","41178.9861111111","+0","0","","&B10000000","&B00000000"
"4089","41178.9895833333","+0","0","","&B10000000","&B00000000"
"4090","41178.9930555556","+0","0","","&B10000000","&B00000000"
"4091","41178.9965277778","+0","0","","&B10000000","&B00000000"
"4092","41179","+0","0","","&B10000000","&B00000000"
"4093","41179.0034722222","+0","0","","&B10000000","&B00000000"
"4094","41179.0069444444","+0","0","","&B10000000","&B00000000"
"4095","41179.0104166667","+0","0","","&B10000000","&B00000000"
"4096","41179.0138888889","+0","0","","&B10000000","&B00000000"
"4097","41179.0173611111","+0","0","","&B10000000","&B00000000"
"4098","41179.0208333333","+0","0","","&B10000000","&B00000000"
"4099","41179.0243055556","+0","0","","&B10000000","&B00000000"
"4100","41179.0277777778","+0","0","","&B10000000","&B00000000"
"4101","41179.03125","+0","0","","&B10000000","&B00000000"
"4102","41179.0347222222","+0","0","","&B10000000","&B00000000"
"4103","41179.0381944444","+0","0","","&B10000000","&B00000000"
"4104","41179.0416666667","+0","0","","&B10000000","&B00000000"
"4105","41179.0451388889","+0","0","","&B10000000","&B00000000"
"4106","41179.0486111111","+0","0","","&B10000000","&B00000000"
"4107","41179.0520833333","+0","0","","&B10000000","&B00000000"
"4108","41179.0555555556","+0","0","","&B10000000","&B00000000"
"4109","41179.0590277778","+0","0","","&B10000000","&B00000000"
"4110","41179.0625","+0","0","","&B10000000","&B00000000"
"4111","41179.0659722222","+0","0","","&B10000000","&B00000000"
"4112","41179.0694444444","+0","0","","&B10000000","&B00000000"
"4113","41179.0729166667","+0","0","","&B10000000","&B00000000"
"4114","41179.0763888889","+0","0","","&B10000000","&B00000000"
"4115","41179.0798611111","+0","0","","&B10000000","&B00000000"
"4116","41179.0833333333","+0","0","","&B10000000","&B00000000"
"4117","41179.0868055556","+0","0","","&B10000000","&B00000000"
"4118","41179.0902777778","+0","0","","&B10000000","&B00000000"
"4119","41179.09375","+0","0","","&B10000000","&B00000000"
"4120","41179.0972222222","+0","0","","&B10000000","&B00000000"
"4121","41179.1006944444","+0","0","","&B10000000","&B00000000"
"4122","41179.1041666667","+0","0","","&B10000000","&B00000000"
"4123","41179.1076388889","+0","0","","&B10000000","&B00000000"
"4124","41179.1111111111","+0","0","","&B10000000","&B00000000"
"4125","41179.1145833333","+0","0","","&B10000000","&B00000000"
"4126","41179.1180555556","+0","0","","&B10000000","&B00000000"
"4127","41179.1215277778","+0","0","","&B10000000","&B00000000"
"4128","41179.125","+0","0","","&B10000000","&B00000000"
"4129","41179.1284722222","+0","0","","&B10000000","&B00000000"
"4130","41179.1319444444","+0","0","","&B10000000","&B00000000"
"4131","41179.1354166667","+0","0","","&B10000000","&B00000000"
"4132","41179.1388888889","+0","0","","&B10000000","&B00000000"
"4133","41179.1423611111","+0","0","","&B10000000","&B00000000"
"4134","41179.1458333333","+0","0","","&B10000000","&B00000000"
"4135","41179.1493055556","+0","0","","&B10000000","&B00000000"
"4136","41179.1527777778","+0","0","","&B10000000","&B00000000"
"4137","41179.15625","+0","0","","&B10000000","&B00000000"
"4138","41179.1597222222","+0","0","","&B10000000","&B00000000"
"4139","41179.1631944444","+0","0","","&B10000000","&B00000000"
"4140","41179.1666666667","+0","0","","&B10000000","&B00000000"
"4141","41179.1701388889","+0","0","","&B10000000","&B00000000"
"4142","41179.1736111111","+0","0","","&B10000000","&B00000000"
"4143","41179.1770833333","+0","0","","&B10000000","&B00000000"
"4144","41179.1805555556","+0","0","","&B10000000","&B00000000"
"4145","41179.1840277778","+0","0","","&B10000000","&B00000000"
"4146","41179.1875","+0","0","","&B10000000","&B00000000"
"4147","41179.1909722222","+0","0","","&B10000000","&B00000000"
"4148","41179.1944444444","+0","0","","&B10000000","&B00000000"
"4149","41179.1979166667","+0","0","","&B10000000","&B00000000"
"4150","41179.2013888889","+0","0","","&B10000000","&B00000000"
"4151","41179.2048611111","+0","0","","&B10000000","&B00000000"
"4152","41179.2083333333","+0","0","","&B10000000","&B00000000"
"4153","41179.2118055556","+0","0","","&B10000000","&B00000000"
"4154","41179.2152777778","+0","0","","&B10000000","&B00000000"
"4155","41179.21875","+0","0","","&B10000000","&B00000000"
"4156","41179.2222222222","+0","0","","&B10000000","&B00000000"
"4157","41179.2256944444","-0.005","0","","&B10000000","&B00000000"
"4158","41179.2291666667","+0","0","","&B10000000","&B00000000"
"4159","41179.2326388889","+0","0","","&B10000000","&B00000000"
"4160","41179.2361111111","+0","0","","&B10000000","&B00000000"
"4161","41179.2395833333","+0","0","","&B10000000","&B00000000"
"4162","41179.2430555556","+0","0","","&B10000000","&B00000000"
"4163","41179.2465277778","+0","0","","&B10000000","&B00000000"
"4164","41179.25","+0","0","","&B10000000","&B00000000"
"4165","41179.2534722222","+0","0","","&B10000000","&B00000000"
"4166","41179.2569444444","+0","0","","&B10000000","&B00000000"
"4167","41179.2604166667","+0","0","","&B10000000","&B00000000"
"4168","41179.2638888889","+0","0","","&B10000000","&B00000000"
"4169","41179.2673611111","+0","0","","&B10000000","&B00000000"
"4170","41179.2708333333","+0","0","","&B10000000","&B00000000"
"4171","41179.2743055556","+0","0","","&B10000000","&B00000000"
"4172","41179.2777777778","+0","0","","&B10000000","&B00000000"
"4173","41179.28125","+0","0","","&B10000000","&B00000000"
"4174","41179.2847222222","+0","0","","&B10000000","&B00000000"
"4175","41179.2881944444","+0","0","","&B10000000","&B00000000"
"4176","41179.2916666667","+0","0","","&B10000000","&B00000000"
"4177","41179.2951388889","+0","0","","&B10000000","&B00000000"
"4178","41179.2986111111","+0","0","","&B10000000","&B00000000"
"4179","41179.3020833333","+0","0","","&B10000000","&B00000000"
"4180","41179.3055555556","+0","0","","&B10000000","&B00000000"
"4181","41179.3090277778","+0","0","","&B10000000","&B00000000"
"4182","41179.3125","+0","0","","&B10000000","&B00000000"
"4183","41179.3159722222","+0","0","","&B10000000","&B00000000"
"4184","41179.3194444444","+0","0","","&B10000000","&B00000000"
"4185","41179.3229166667","+0","0","","&B10000000","&B00000000"
"4186","41179.3263888889","+0","0","","&B10000000","&B00000000"
"4187","41179.3298611111","+0","0","","&B10000000","&B00000000"
"4188","41179.3333333333","+0","0","","&B10000000","&B00000000"
"4189","41179.3368055556","+0","0","","&B10000000","&B00000000"
"4190","41179.3402777778","+0","0","","&B10000000","&B00000000"
"4191","41179.34375","+0","0","","&B10000000","&B00000000"
"4192","41179.3472222222","+0","0","","&B10000000","&B00000000"
"4193","41179.3506944444","+0","0","","&B10000000","&B00000000"
"4194","41179.3541666667","+0","0","","&B10000000","&B00000000"
"4195","41179.3576388889","+0","0","","&B10000000","&B00000000"
"4196","41179.3611111111","+0","0","","&B10000000","&B00000000"
"4197","41179.3645833333","+0","0","","&B10000000","&B00000000"
"4198","41179.3680555556","+0","0","","&B10000000","&B00000000"
"4199","41179.3715277778","+0","0","","&B10000000","&B00000000"
"4200","41179.375","+0","0","","&B10000000","&B00000000"
"4201","41179.3784722222","+0","0","","&B10000000","&B00000000"
"4202","41179.3819444444","+0","0","","&B10000000","&B00000000"
"4203","41179.3854166667","+0","0","","&B10000000","&B00000000"
"4204","41179.3888888889","+0","0","","&B10000000","&B00000000"
"4205","41179.3923611111","+0","0","","&B10000000","&B00000000"
"4206","41179.3958333333","+0","0","","&B10000000","&B00000000"
"4207","41179.3993055556","+0","0","","&B10000000","&B00000000"
"4208","41179.4027777778","+0","0","","&B10000000","&B00000000"
"4209","41179.40625","+0","0","","&B10000000","&B00000000"
"4210","41179.4097222222","+0","0","","&B10000000","&B00000000"
"4211","41179.4131944444","+0","0","","&B10000000","&B00000000"
"4212","41179.4166666667","+0","0","","&B10000000","&B00000000"
"4213","41179.4201388889","+0","0","","&B10000000","&B00000000"
"4214","41179.4236111111","+0","0","","&B10000000","&B00000000"
"4215","41179.4270833333","+0","0","","&B10000000","&B00000000"
"4216","41179.4305555556","+0","0","","&B10000000","&B00000000"
"4217","41179.4340277778","+0","0","","&B10000000","&B00000000"
"4218","41179.4375","-0.005","0","","&B10000000","&B00000000"
"4219","41179.4409722222","+0","0","","&B10000000","&B00000000"
"4220","41179.4444444444","+0","0","","&B10000000","&B00000000"
"4221","41179.4479166667","+0","0","","&B10000000","&B00000000"
"4222","41179.4513888889","+0","0","","&B10000000","&B00000000"
"4223","41179.4548611111","+0","0","","&B10000000","&B00000000"
"4224","41179.4583333333","+0","0","","&B10000000","&B00000000"
"4225","41179.4618055556","+0","0","","&B10000000","&B00000000"
"4226","41179.4652777778","+0","0","","&B10000000","&B00000000"
"4227","41179.46875","+0","0","","&B10000000","&B00000000"
"4228","41179.4722222222","+0","0","","&B10000000","&B00000000"
"4229","41179.4756944444","+0","0","","&B10000000","&B00000000"
"4230","41179.4791666667","+0","0","","&B10000000","&B00000000"
"4231","41179.4826388889","+0","0","","&B10000000","&B00000000"
"4232","41179.4861111111","+0","0","","&B10000000","&B00000000"
"4233","41179.4895833333","+0","0","","&B10000000","&B00000000"
"4234","41179.4930555556","+0","0","","&B10000000","&B00000000"
"4235","41179.4965277778","+0","0","","&B10000000","&B00000000"
"4236","41179.5","+0","0","","&B10000000","&B00000000"
"4237","41179.5034722222","+0","0","","&B10000000","&B00000000"
"4238","41179.5069444444","+0","0","","&B10000000","&B00000000"
"4239","41179.5104166667","+0","0","","&B10000000","&B00000000"
"4240","41179.5138888889","+0","0","","&B10000000","&B00000000"
"4241","41179.5173611111","+0","0","","&B10000000","&B00000000"
"4242","41179.5208333333","+0","0","","&B10000000","&B00000000"
"4243","41179.5243055556","+0","0","","&B10000000","&B00000000"
"4244","41179.5277777778","+0","0","","&B10000000","&B00000000"
"4245","41179.53125","+0","0","","&B10000000","&B00000000"
"4246","41179.5347222222","+0","0","","&B10000000","&B00000000"
"4247","41179.5381944444","+0","0","","&B10000000","&B00000000"
"4248","41179.5416666667","+0","0","","&B10000000","&B00000000"
"4249","41179.5451388889","+0","0","","&B10000000","&B00000000"
"4250","41179.5486111111","+0","0","","&B10000000","&B00000000"
"4251","41179.5520833333","+0","0","","&B10000000","&B00000000"
"4252","41179.5555555556","+0","0","","&B10000000","&B00000000"
"4253","41179.5590277778","+0","0","","&B10000000","&B00000000"
"4254","41179.5625","+0","0","","&B10000000","&B00000000"
"4255","41179.5659722222","+0","0","","&B10000000","&B00000000"
"4256","41179.5694444444","+0","0","","&B10000000","&B00000000"
"4257","41179.5729166667","+0","0","","&B10000000","&B00000000"
"4258","41179.5763888889","+0","0","","&B10000000","&B00000000"
"4259","41179.5798611111","+0","0","","&B10000000","&B00000000"
"4260","41179.5833333333","+0","0","","&B10000000","&B00000000"
"4261","41179.5868055556","+0","0","","&B10000000","&B00000000"
"4262","41179.5902777778","+0","0","","&B10000000","&B00000000"
"4263","41179.59375","+0","0","","&B10000000","&B00000000"
"4264","41179.5972222222","-0.005","0","","&B10000000","&B00000000"
"4265","41179.6006944444","+0","0","","&B10000000","&B00000000"
"4266","41179.6041666667","+0","0","","&B10000000","&B00000000"
"4267","41179.6076388889","+0","0","","&B10000000","&B00000000"
"4268","41179.6111111111","+0","0","","&B10000000","&B00000000"
"4269","41179.6145833333","+0","0","","&B10000000","&B00000000"
"4270","41179.6180555556","+0","0","","&B10000000","&B00000000"
"4271","41179.6215277778","+0","0","","&B10000000","&B00000000"
"4272","41179.625","+0","0","","&B10000000","&B00000000"
"4273","41179.6284722222","+0","0","","&B10000000","&B00000000"
"4274","41179.6319444444","+0","0","","&B10000000","&B00000000"
"4275","41179.6354166667","+0","0","","&B10000000","&B00000000"
"4276","41179.6388888889","+0","0","","&B10000000","&B00000000"
"4277","41179.6423611111","+0","0","","&B10000000","&B00000000"
"4278","41179.6458333333","+0","0","","&B10000000","&B00000000"
"4279","41179.6493055556","+0","0","","&B10000000","&B00000000"
"4280","41179.6527777778","+0","0","","&B10000000","&B00000000"
"4281","41179.65625","+0","0","","&B10000000","&B00000000"
"4282","41179.6597222222","-0.005","0","","&B10000000","&B00000000"
"4283","41179.6631944444","+0","0","","&B10000000","&B00000000"
"4284","41179.6666666667","+0","0","","&B10000000","&B00000000"
"4285","41179.6701388889","+0","0","","&B10000000","&B00000000"
"4286","41179.6736111111","+0","0","","&B10000000","&B00000000"
"4287","41179.6770833333","+0","0","","&B10000000","&B00000000"
"4288","41179.6805555556","+0","0","","&B10000000","&B00000000"
"4289","41179.6840277778","+0","0","","&B10000000","&B00000000"
"4290","41179.6875","+0","0","","&B10000000","&B00000000"
"4291","41179.6909722222","+0","0","","&B10000000","&B00000000"
"4292","41179.6944444444","+0","0","","&B10000000","&B00000000"
"4293","41179.6979166667","+0","0","","&B10000000","&B00000000"
"4294","41179.7013888889","+0","0","","&B10000000","&B00000000"
"4295","41179.7048611111","+0","0","","&B10000000","&B00000000"
"4296","41179.7083333333","+0","0","","&B10000000","&B00000000"
"4297","41179.7118055556","+0","0","","&B10000000","&B00000000"
"4298","41179.7152777778","+0","0","","&B10000000","&B00000000"
"4299","41179.71875","+0","0","","&B10000000","&B00000000"
"4300","41179.7222222222","+0","0","","&B10000000","&B00000000"
"4301","41179.7256944444","+0","0","","&B10000000","&B00000000"
"4302","41179.7291666667","+0","0","","&B10000000","&B00000000"
"4303","41179.7326388889","+0","0","","&B10000000","&B00000000"
"4304","41179.7361111111","+0","0","","&B10000000","&B00000000"
"4305","41179.7395833333","+0","0","","&B10000000","&B00000000"
"4306","41179.7430555556","+0","0","","&B10000000","&B00000000"
"4307","41179.7465277778","+0","0","","&B10000000","&B00000000"
"4308","41179.75","+0","0","","&B10000000","&B00000000"
"4309","41179.7534722222","+0","0","","&B10000000","&B00000000"
"4310","41179.7569444444","+0","0","","&B10000000","&B00000000"
"4311","41179.7604166667","+0","0","","&B10000000","&B00000000"
"4312","41179.7638888889","+0","0","","&B10000000","&B00000000"
"4313","41179.7673611111","+0","0","","&B10000000","&B00000000"
"4314","41179.7708333333","+0","0","","&B10000000","&B00000000"
"4315","41179.7743055556","+0","0","","&B10000000","&B00000000"
"4316","41179.7777777778","+0","0","","&B10000000","&B00000000"
"4317","41179.78125","+0","0","","&B10000000","&B00000000"
"4318","41179.7847222222","+0","0","","&B10000000","&B00000000"
"4319","41179.7881944444","+0","0","","&B10000000","&B00000000"
"4320","41179.7916666667","+0","0","","&B10000000","&B00000000"
"4321","41179.7951388889","+0","0","","&B10000000","&B00000000"
"4322","41179.7986111111","+0","0","","&B10000000","&B00000000"
"4323","41179.8020833333","+0","0","","&B10000000","&B00000000"
"4324","41179.8055555556","+0","0","","&B10000000","&B00000000"
"4325","41179.8090277778","+0","0","","&B10000000","&B00000000"
"4326","41179.8125","+0","0","","&B10000000","&B00000000"
"4327","41179.8159722222","+0","0","","&B10000000","&B00000000"
"4328","41179.8194444444","+0","0","","&B10000000","&B00000000"
"4329","41179.8229166667","+0","0","","&B10000000","&B00000000"
"4330","41179.8263888889","+0","0","","&B10000000","&B00000000"
"4331","41179.8298611111","+0","0","","&B10000000","&B00000000"
"4332","41179.8333333333","+0","0","","&B10000000","&B00000000"
"4333","41179.8368055556","+0","0","","&B10000000","&B00000000"
"4334","41179.8402777778","+0","0","","&B10000000","&B00000000"
"4335","41179.84375","+0","0","","&B10000000","&B00000000"
"4336","41179.8472222222","+0","0","","&B10000000","&B00000000"
"4337","41179.8506944444","+0","0","","&B10000000","&B00000000"
"4338","41179.8541666667","+0","0","","&B10000000","&B00000000"
"4339","41179.8576388889","+0","0","","&B10000000","&B00000000"
"4340","41179.8611111111","+0","0","","&B10000000","&B00000000"
"4341","41179.8645833333","+0","0","","&B10000000","&B00000000"
"4342","41179.8680555556","+0","0","","&B10000000","&B00000000"
"4343","41179.8715277778","+0","0","","&B10000000","&B00000000"
"4344","41179.875","+0","0","","&B10000000","&B00000000"
"4345","41179.8784722222","+0","0","","&B10000000","&B00000000"
"4346","41179.8819444444","+0","0","","&B10000000","&B00000000"
"4347","41179.8854166667","+0","0","","&B10000000","&B00000000"
"4348","41179.8888888889","+0","0","","&B10000000","&B00000000"
"4349","41179.8923611111","+0","0","","&B10000000","&B00000000"
"4350","41179.8958333333","+0","0","","&B10000000","&B00000000"
"4351","41179.8993055556","+0","0","","&B10000000","&B00000000"
"4352","41179.9027777778","+0","0","","&B10000000","&B00000000"
"4353","41179.90625","+0","0","","&B10000000","&B00000000"
"4354","41179.9097222222","+0","0","","&B10000000","&B00000000"
"4355","41179.9131944444","+0","0","","&B10000000","&B00000000"
"4356","41179.9166666667","+0","0","","&B10000000","&B00000000"
"4357","41179.9201388889","+0","0","","&B10000000","&B00000000"
"4358","41179.9236111111","+0","0","","&B10000000","&B00000000"
"4359","41179.9270833333","+0","0","","&B10000000","&B00000000"
"4360","41179.9305555556","+0","0","","&B10000000","&B00000000"
"4361","41179.9340277778","+0","0","","&B10000000","&B00000000"
"4362","41179.9375","+0","0","","&B10000000","&B00000000"
"4363","41179.9409722222","+0","0","","&B10000000","&B00000000"
"4364","41179.9444444444","+0","0","","&B10000000","&B00000000"
"4365","41179.9479166667","+0","0","","&B10000000","&B00000000"
"4366","41179.9513888889","+0","0","","&B10000000","&B00000000"
"4367","41179.9548611111","+0","0","","&B10000000","&B00000000"
"4368","41179.9583333333","+0","0","","&B10000000","&B00000000"
"4369","41179.9618055556","+0","0","","&B10000000","&B00000000"
"4370","41179.9652777778","+0","0","","&B10000000","&B00000000"
"4371","41179.96875","+0","0","","&B10000000","&B00000000"
"4372","41179.9722222222","+0","0","","&B10000000","&B00000000"
"4373","41179.9756944444","-0.005","0","","&B10000000","&B00000000"
"4374","41179.9791666667","+0","0","","&B10000000","&B00000000"
"4375","41179.9826388889","+0","0","","&B10000000","&B00000000"
"4376","41179.9861111111","+0","0","","&B10000000","&B00000000"
"4377","41179.9895833333","+0","0","","&B10000000","&B00000000"
"4378","41179.9930555556","+0","0","","&B10000000","&B00000000"
"4379","41179.9965277778","+0","0","","&B10000000","&B00000000"
"4380","41180","+0","0","","&B10000000","&B00000000"
"4381","41180.0034722222","+0","0","","&B10000000","&B00000000"
"4382","41180.0069444444","+0","0","","&B10000000","&B00000000"
"4383","41180.0104166667","+0","0","","&B10000000","&B00000000"
"4384","41180.0138888889","+0","0","","&B10000000","&B00000000"
"4385","41180.0173611111","+0","0","","&B10000000","&B00000000"
"4386","41180.0208333333","+0","0","","&B10000000","&B00000000"
"4387","41180.0243055556","+0","0","","&B10000000","&B00000000"
"4388","41180.0277777778","+0","0","","&B10000000","&B00000000"
"4389","41180.03125","+0","0","","&B10000000","&B00000000"
"4390","41180.0347222222","+0","0","","&B10000000","&B00000000"
"4391","41180.0381944444","+0","0","","&B10000000","&B00000000"
"4392","41180.0416666667","+0","0","","&B10000000","&B00000000"
"4393","41180.0451388889","+0","0","","&B10000000","&B00000000"
"4394","41180.0486111111","+0","0","","&B10000000","&B00000000"
"4395","41180.0520833333","+0","0","","&B10000000","&B00000000"
"4396","41180.0555555556","+0","0","","&B10000000","&B00000000"
"4397","41180.0590277778","+0","0","","&B10000000","&B00000000"
"4398","41180.0625","+0","0","","&B10000000","&B00000000"
"4399","41180.0659722222","+0","0","","&B10000000","&B00000000"
"4400","41180.0694444444","+0","0","","&B10000000","&B00000000"
"4401","41180.0729166667","+0","0","","&B10000000","&B00000000"
"4402","41180.0763888889","+0","0","","&B10000000","&B00000000"
"4403","41180.0798611111","+0","0","","&B10000000","&B00000000"
"4404","41180.0833333333","+0","0","","&B10000000","&B00000000"
"4405","41180.0868055556","+0","0","","&B10000000","&B00000000"
"4406","41180.0902777778","+0","0","","&B10000000","&B00000000"
"4407","41180.09375","+0","0","","&B10000000","&B00000000"
"4408","41180.0972222222","+0","0","","&B10000000","&B00000000"
"4409","41180.1006944444","+0","0","","&B10000000","&B00000000"
"4410","41180.1041666667","+0","0","","&B10000000","&B00000000"
"4411","41180.1076388889","+0","0","","&B10000000","&B00000000"
"4412","41180.1111111111","+0","0","","&B10000000","&B00000000"
"4413","41180.1145833333","+0","0","","&B10000000","&B00000000"
"4414","41180.1180555556","+0","0","","&B10000000","&B00000000"
